网页id,学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,电子简章,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,其他可补充字段,职业
11011,东丰县职业高级中学,吉林,辽源市,东丰县,职业高中,公办,吉林辽源市东丰县,http://www.jldfzg.com/,0437-6318709,--,--,6,东丰县教育局,东丰县东丰镇药业大街96号,--,--,,,,是,,,,,"{'农业类': ['作物生产技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['焊接技术应用', '机械加工技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育']}"
11012,东辽县职业高级中学校,吉林,辽源市,东辽县,中等专业学校,公办,吉林辽源市东辽县,--,0437-5107377,--,,,--,--,--,,,,,是,,,,,{}
11013,辉南县职业教育中心,吉林,通化市,辉南县,中等专业学校,公办,吉林通化市辉南县,--,--,--,,,--,--,--,,,,,是,,,,,{}
11014,长白山职业技术学院,吉林,白山市,浑江区,中等专业学校,公办,吉林白山市浑江区,"http://www.cbsvtc.
com.cn/",0439-3328604,--,2008,300,白山市教育局,"吉林省白山市
浑江区北安
大街2998号",--,--,,,,,,,,,{}
11015,海南省农业学校/海南省科技学校,海南,海口市,龙华区,中等专业学校,公办,海南海口市龙华区,http://www.hnas.cn,0898-66890154,--,,,--,--,--,,是,是,,,,,,,{}
11016,濮阳市综合高级中学,河南,濮阳市,华龙区,中等专业学校,公办,河南濮阳市华龙区,http://www.pyszyzz.com/,0393-8979836,--,,,--,--,--,,是,是,,,,,,,{}
11017,林州市经济管理学校,河南,安阳市,林州市,职业高中,公办,河南安阳市林州市,--,--,--,,,--,--,--,,,,,是,,,,,{}
11018,汤阴县职业技术教育中心,河南,安阳市,汤阴县,中等专业学校,公办,河南安阳市汤阴县,--,0372-3802673,--,,,--,--,--,,是,是,,,,,,,{}
11019,林州建筑职业技术学院,河南,安阳市,林州市,中等专业学校,民办,河南安阳市林州市,http://www.lcat.edu.cn/,0372-3885777,--,--,1279,--,安阳林州市长春大道东段769号,--,--,,,,,,,,,"{'土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用', '计算机网络技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理', '高星级饭店运营与管理']}"
11020,新乡市红旗区职业教育中心,河南,新乡市,红旗区,中等专业学校,公办,河南新乡市红旗区,http://www.xxhqzj.cn,0373-3800371,xxhqzj@126.com,--,110,红旗区教体文旅局,新乡市文化街61号,--,--,,,,,,,,,"{'林业类': ['园林绿化'], '建筑设计类': ['建筑装饰技术'], '计算机类': ['计算机应用'], '表演艺术类': ['音乐表演']}"
11021,新乡职业技术学院,河南,新乡市,新乡经济技术开发区,中等专业学校,公办,河南新乡市新乡经济技术开发区,http://www.xxvtc.edu.cn/,0373-3720000,--,2009,2450,--,新乡市经济技术开发区经三路六号,--,--,,,是,,,,,,"{'建筑设计类': ['建筑装饰技术'], '建设工程管理类': ['建筑工程造价'], '机械设计制造类': ['数控技术应用', '机械加工技术', '焊接技术应用', '模具制造技术'], '自动化类': ['机电技术应用'], '计算机类': ['计算机平面设计'], '财务会计类': ['会计事务'], '教育类': ['幼儿保育'], '体育类': ['运动训练']}"
11022,焦作职工医学院,河南,焦作市,解放区,中等专业学校,公办,河南焦作市解放区,--,0391-3530027,--,1975,90,河南省人民政府,焦作市学苑路1号,--,--,,,,,,,,,{}
11023,焦作市特殊教育学校,河南,焦作市,中站区,特殊教育,公办,河南焦作市中站区,https://jztjxx.30edu.com.cn/,0391-2665002,--,,,--,--,--,,,,,,,,,,{}
11024,台前县职业高中,河南,濮阳市,台前县,职业高中,公办,河南濮阳市台前县,--,--,--,,,--,--,--,,,是,是,,,,,,{}
11025,濮阳市特殊教育职业中等专业学校,河南,濮阳市,华龙区,特殊教育,公办,河南濮阳市华龙区,--,0393-8998600,--,,,--,--,--,,,,,,,,,,{}
11026,长葛市立兴职业高中,河南,许昌市,长葛市,职业高中,民办,河南许昌市长葛市,--,0374-6437866,--,--,--,--,长葛市长社路东段,--,--,,,,,,,,,"{'文化服务类': ['社会文化艺术'], '语言类': ['商务俄语', '商务日语', '商务泰语'], '体育类': ['运动训练']}"
11027,临颍县南街村艺术职业学校,河南,漯河市,临颍县,中等专业学校,民办,河南漯河市临颍县,--,0395-8851776,--,,,--,--,--,,,,,,,,,,{}
11028,漯河职业技术学院,河南,漯河市,源汇区,中等专业学校,公办,河南漯河市源汇区,http://www.lhvtc.edu.cn/,0395-2127856,--,--,--,河南省教育厅,漯河市大学路123号,--,--,,,是,,,,,,"{'土建施工类': ['建筑工程施工'], '机电设备类': ['智能设备运行与维护'], '自动化类': ['电气设备运行与控制'], '航空装备类': ['无人机操控与维护'], '汽车制造类': ['汽车制造与检测'], '纺织服装类': ['服装设计与工艺'], '食品类': ['食品加工工艺'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务']}"
11029,三门峡市湖滨区中等职业教育学校,河南,三门峡市,湖滨区,中等专业学校,公办,河南三门峡市湖滨区,--,0398-2776628,--,,,--,--,--,,,,,,,,,,"{'自动化类': ['工业机器人技术应用'], '汽车制造类': ['新能源汽车制造与检测'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['大数据技术应用'], '表演艺术类': ['音乐表演'], '教育类': ['幼儿保育']}"
11030,三门峡职业技术学院,河南,三门峡市,湖滨区,中等专业学校,公办,河南三门峡市湖滨区,https://www.smxpt.cn/,0398-2183609,--,,,--,--,--,,,,,,,,,,{}
11031,南阳市第四中等职业学校,河南,南阳市,宛城区,职业高中,公办,河南南阳市宛城区,--,0377-63765132,63765132@hotmail.com,1969,168,--,宛城区红泥湾镇四和社区,--,--,,是,,,,,,,{}
11032,南阳市宛城区艺术中等职业学校,河南,南阳市,宛城区,中等专业学校,民办,河南南阳市宛城区,--,--,--,,,--,--,--,,,,,,,,,,{}
11033,商丘职业技术学院,河南,商丘市,睢阳区,中等专业学校,公办,河南商丘市睢阳区,https://www.sqzy.edu.cn,0370-3182005,--,,,--,--,--,,是,,,,,,,,"{'表演艺术类': ['音乐表演', '舞蹈表演']}"
11034,商丘学院,河南,商丘市,梁园区,中等专业学校,民办,河南商丘市梁园区,https://www.sqxy.edu.cn,0370-3167600,--,,,--,--,--,,,,,,,,,,{}
11035,信阳市第一职业高级中学,河南,信阳市,浉河区,职业高中,公办,河南信阳市浉河区,--,0376-6322009,--,--,77,--,信阳市浉河区金牛路158号,--,--,,,,,,,,,{}
11036,信阳市第六职业高级中学,河南,信阳市,平桥区,中等专业学校,公办,河南信阳市平桥区,--,--,--,--,140,--,信阳市平桥区震雷山街道办事处,--,--,,是,,,,,,,"{'农业类': ['作物生产技术'], '自动化类': ['电气设备运行与控制', '工业机器人技术应用'], '道路运输类': ['汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子信息技术'], '计算机类': ['数字媒体技术应用', '计算机平面设计', '大数据技术应用', '计算机应用', '软件与信息服务', '计算机网络技术'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理']}"
11037,河南省信阳航空服务学校,河南,信阳市,平桥区,中等专业学校,民办,河南信阳市平桥区,http://www.hnxyhx.com,0376-3807888,xyhkzyxyzsb@126.com,2010,413,--,平桥区震雷山职教集团实训基地,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['工业机器人技术应用'], '纺织服装类': ['服装设计与工艺'], '铁道运输类': ['铁道运输服务(高铁)'], '道路运输类': ['汽车运用与维修', '新能源汽车运用与维修', '汽车服务与营销'], '航空运输类': ['航空服务', '飞机设备维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机网络技术', '计算机平面设计'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务']}"
11038,商城县职业高级中学,河南,信阳市,商城县,职业高中,公办,河南信阳市商城县,--,--,--,1996,60,--,商城县城关镇柳坪村,--,--,,,,是,,,,,"{'自动化类': ['机电技术应用', '工业机器人技术应用'], '航空装备类': ['无人机操控与维护'], '纺织服装类': ['服装设计与工艺'], '食品类': ['食品加工工艺', '食品安全与检测技术'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '经济贸易类': ['国际商务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务']}"
11039,新县职业高级中学,河南,信阳市,新县,职业高中,公办,河南信阳市新县,http://xxzg.hnszzxx.com,0371-60255699,--,1981,150,--,河南省信阳市新县城关将军路183号,--,--,是,是,,,,,,,{}
11040,新县千斤职业高级中学,河南,信阳市,新县,职业高中,公办,河南信阳市新县,--,--,--,,,--,--,--,,,,,,,,,,"{'农业类': ['作物生产技术'], '土建施工类': ['建筑工程施工'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机平面设计'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪']}"
11041,息县职业教育中心,河南,信阳市,息县,中等专业学校,民办,河南信阳市息县,--,--,--,,,--,--,--,,,,,,,,,,{}
11042,信阳涉外职业技术学院,河南,信阳市,新县,中等专业学校,民办,河南信阳市新县,http://www.xyswxy.com,0376-2798366,shewaizsb@163.com,2011,--,河南省教育厅,河南省新县发展大道,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '汽车制造类': ['汽车制造与检测'], '护理类': ['护理']}"
11043,周口世纪美容美发中等专业学校,河南,周口市,川汇区,中等专业学校,民办,河南周口市川汇区,http://www.sj6688.com,0394-8152222,--,2000,--,--,周口市五一路中段,--,--,,,,,,,,,{}
11044,周口市职业高级中学,河南,周口市,川汇区,职业高中,公办,河南周口市川汇区,http://www.zkszg.com,0394-8356000,--,1948,--,--,周口市莲花路西段1号,--,--,,,,,,,,,{}
11045,,,,,,,--,--,--,--,,,--,--,--,,,,,,,,,,{}
11046,长垣烹饪职业技术学院,河南,新乡市,长垣县,中等专业学校,民办,河南新乡市长垣县,http://www.cyprxy.edu.cn,0373--8872228,cyprxyzsb@163.com,2010,580,河南省教育厅,河南省长垣市山海大道与华豫大道交叉口东南侧,--,--,,,,,,,,,"{'测绘地理信息类': ['工程测量技术', '地图绘制与地理信息系统'], '自动化类': ['机电技术应用'], '城市轨道交通类': ['城市轨道交通运营服务'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['高星级饭店运营与管理'], '餐饮类': ['中餐烹饪', '中西面点'], '教育类': ['幼儿保育']}"
11047,永城市职业教育中心,河南,商丘市,永城市,中等专业学校,公办,河南商丘市永城市,https://yczyjyzx.com/sy,0370-5017777,--,,,--,--,--,,,,,,,,,,{}
11048,永城市第一职业高级中学,河南,商丘市,永城市,职业高中,公办,河南商丘市永城市,--,--,--,1956,235,--,永城市芒山镇,--,--,,,,,,,,,"{'农业类': ['作物生产技术'], '畜牧业类': ['畜禽生产技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械加工技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理']}"
11049,河南卫生健康干部学院,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hnwsgbxy.cn/,0371-65666335,--,1985,--,河南省卫生健康委员会,郑州市花园路149号,--,--,,,,,,,,,"{'护理类': ['护理'], '中医药类': ['中医康复技术', '中药'], '康复治疗类': ['康复技术'], '健康管理与促进类': ['婴幼儿托育', '营养与保健'], '公共服务类': ['母婴照护', '智慧健康养老服务']}"
11050,河南信息工程学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.haetc.com/,0371-65853309,--,1984,186,河南省信息产业厅,郑州市金水区鑫苑路10号,--,--,是,是,,,,,,,"{'自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '电子信息类': ['物联网技术应用', '电子技术应用', '服务机器人装配与维护(人工智能技术服务)'], '计算机类': ['计算机应用', '计算机网络技术', '网络信息安全'], '电子商务类': ['电子商务', '跨境电子商务'], '艺术设计类': ['工艺美术', '艺术设计与制作'], '广播影视类': ['动漫与游戏制作'], '教育类': ['幼儿保育']}"
11051,河南艺术职业学院,河南,郑州市,中牟县,中等专业学校,公办,河南郑州市中牟县,http://www.hnyszyxy.net/,0371-60867601,--,1956,825,河南省教育厅,郑州市郑东新区郑开大道132号,--,--,,,,,,,,,{'表演艺术类': ['音乐表演(器乐表演)']}
11052,河南推拿职业学院,河南,洛阳市,洛龙区,中等专业学校,公办,河南洛阳市洛龙区,https://www.hltn.edu.cn/,0379-65232088,hntnzyxy@126.com,1959,400,河南省教育厅,河南省洛阳市洛龙区学府街10号,--,--,,,,,,,,,{'中医药类': ['中医养生保健']}
11053,河南工业贸易职业学院,河南,郑州市,新郑市,中等专业学校,公办,河南郑州市新郑市,http://www.hngm.edu.cn/,0371-60987888,--,,,--,--,--,,,,,,,,,,{}
11054,汕头市濠江职业技术教育中心,广东,汕头市,濠江区,中等专业学校,公办,广东汕头市濠江区,http://www.sthjzj.com,0754-87390716,hjzjzx2009@163.com,--,60,汕头市濠江区教育局,汕头市濠江区磊广大道往同宏路600米处,--,--,,,,,,,,,"{'土建施工类': ['建筑工程施工'], '航空运输类': ['航空服务'], '计算机类': ['计算机网络技术(安检)', '计算机应用', '计算机网络技术'], '电子商务类': ['直播电商服务'], '餐饮类': ['中餐烹饪'], '表演艺术类': ['舞蹈表演'], '教育类': ['幼儿保育'], '法律实务类': ['法律事务(司警)'], '安全防范类': ['安全保卫服务(司警)'], '文秘类': ['文秘']}"
